,Probability
0,0.151175541290135
50,0.014196983618482
100,0.02925398149575357
150,0.03055723298644024
200,0.035779027877330005
250,0.04147503572622284
300,0.0419635194802932
350,0.039838697466292594
400,0.03753488805936834
450,0.037417639759456445
500,0.03833881930313526
550,0.038906410624246344
600,0.03895151957211562
650,0.03871843533211964
700,0.03852169135152267
750,0.03849456750071929
800,0.038569495022089575
850,0.038633895749649524
900,0.038643136657943424
950,0.0386201546429325
1000,0.03859996287126477
1050,0.03859636845558049
1100,0.03860324569574227
1150,0.0386097494611639
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,3.7470027081099043e-16
