,Probability
0,0.17878099419131085
50,0.016789427867559367
100,0.03459591314330101
150,0.0361371452447235
200,0.04231246748329055
250,0.049048596472517546
300,0.04962627994203724
350,0.04711345419720628
400,0.04438895701543837
450,0.04425029855622865
500,0.045339690353619504
550,0.04601092685005679
600,0.046064272930237286
650,0.04578862627601537
700,0.045555955804640814
750,0.045523878995313447
800,0.04561248867812689
850,0.045688649318939255
900,0.04569957766593186
950,0.04567239901350496
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,3.747002708109904e-16
