,Probability
0,0.30385127712162885
50,0.02853485138493166
100,0.05879826566202118
150,0.06141770149454011
200,0.07191310989806601
250,0.08336165008261398
300,0.08434346507239845
350,0.08007273531611377
400,0.07544225458778421
450,0.07520659447130944
500,0.07705809490859213
550,0.0
600,0.0
650,0.0
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,2.4980018054066027e-16
