,Probability
0,0.1709761843981795
50,0.01605647360900112
100,0.03308560427112737
150,0.03455955280332548
200,0.04046528701492512
250,0.046907345564837694
300,0.04745980985700222
350,0.045056683283889155
400,0.042451125938997136
450,0.0423185207121527
500,0.04336035434595189
550,0.04400228754197629
600,0.044053304761581306
650,0.043789691655534056
700,0.04356717857690571
750,0.04353650210320518
800,0.043621243468117625
850,0.04369407926269589
900,0.0437045305250296
950,0.04367853837575192
1000,0.043655701929812794
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,3.816391647148976e-16
