,Probability
0,0.18733713035911737
50,0.017592939625977532
100,0.03625161119466625
150,0.03786660388672431
200,0.044337465917942485
250,0.051395973900174016
300,0.052001304259395
350,0.04936821920324298
400,0.04651333249667433
450,0.04636803809350877
500,0.04750956621892896
550,0.048212926884326705
600,0.04826882601175984
650,0.047979987405460514
700,0.047736181744664326
750,0.04770256979705407
800,0.04779542017958713
850,0.04787522573140563
900,0.04788667708938931
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,4.0939474033052657e-16
