,Probability
0,0.3292203717757679
50,0.03091727792130705
100,0.06370743958819144
150,0.06654557687296396
200,0.07791726597455094
250,0.09032166555960838
300,0.09138545406500437
350,0.08675815332947026
400,0.08174106536024327
450,0.08148572955289204
500,0.0
550,0.0
600,0.0
650,0.0
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
1100,0.0
1150,0.0
1200,0.0
1250,0.0
1300,0.0
1350,0.0
1400,0.0
1450,0.0
1500,0.0
1550,0.0
1600,0.0
1650,0.0
1700,0.0
1750,0.0
1800,2.359223927328458e-16
